round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
38,0.8768,0.9400,0.0000,1.0000,0.8800,0.9072,0.8980,0.8768,0.9792,0.8836,0.8840,0.8080,0.8528,0.8996,0.8276,0.8384,0.8896,0.0044,0.9056,0.8780,0.8884,0.8692,0.9372,0.8488,0.8676,0.8952,0.8676,0.8736,0.0000,0.9712,0.9400,0.8356,0.8408,0.9064,0.8840,0.8772,0.9152,0.9088,0.8724,0.9048,0.8880,0.8760,0.8264,0.8428,0.8432,0.8956,0.8196,0.8976,0.8828,0.8532,0.9148,0.9088,0.8468,0.9168,0.8444,0.9164,0.8856,0.9344,0.8876,0.8180,0.8896,0.9108,0.8448,0.0000,0.8676,0.8180,0.9008,0.8976,0.9772,0.8796,0.8824,0.8964,0.8600,0.9844,0.8424,0.9040,0.8708,0.8752,0.9404,0.8604,0.9020,0.8536,1.0000,0.8980,0.8196,0.8648,0.8480,0.8808,0.9036,0.9800,0.9360,0.8808,0.8636,0.8508,0.8764,0.8608,0.8368,0.8856,0.8748,0.8424,,0.0000,1.0000,0.8499,0.1787
39,0.8972,0.9800,0.0000,1.0000,0.9156,0.8888,0.8968,0.8952,0.9472,0.8888,0.8564,0.8092,0.8592,0.8740,0.8528,0.8216,0.8872,0.0044,0.9100,0.8784,0.9000,0.8656,0.9368,0.8716,0.8720,0.9112,0.8508,0.8608,0.0000,0.9872,0.9800,0.8428,0.8388,0.8984,0.9052,0.8788,0.9632,0.8988,0.8960,0.9472,0.8768,0.8856,0.8316,0.8416,0.8656,0.8944,0.8048,0.9196,0.9076,0.8972,0.9056,0.9040,0.8296,0.9384,0.8532,0.8980,0.8568,0.9744,0.8904,0.8144,0.8876,0.9088,0.8532,0.0000,0.8676,0.8388,0.9128,0.8912,0.9880,0.8528,0.8976,0.8772,0.8368,0.9852,0.8612,0.8996,0.8464,0.8648,0.9020,0.8480,0.8744,0.8336,1.0000,0.8888,0.8420,0.8588,0.8340,0.8928,0.9020,0.9400,0.9300,0.8976,0.8172,0.8296,0.8728,0.8524,0.8408,0.8832,0.8612,0.8736,,0.0000,1.0000,0.8510,0.1797
40,0.8756,0.9400,0.0000,1.0000,0.8796,0.9088,0.8964,0.8804,0.9792,0.8828,0.8840,0.8084,0.8508,0.8988,0.8280,0.8440,0.8936,0.0044,0.9056,0.8832,0.8888,0.8672,0.9388,0.8516,0.8644,0.8948,0.8676,0.8696,0.0000,0.9712,0.9400,0.8352,0.8392,0.9056,0.8872,0.8764,0.9160,0.9080,0.8736,0.9036,0.8868,0.8756,0.8280,0.8316,0.8440,0.8956,0.8176,0.8976,0.8808,0.8548,0.9132,0.9112,0.8464,0.9160,0.8448,0.9156,0.8848,0.9344,0.8900,0.8160,0.8892,0.9120,0.8460,0.0000,0.8680,0.8196,0.9000,0.8960,0.9772,0.8816,0.8824,0.8976,0.8592,0.9844,0.8380,0.9052,0.8804,0.8752,0.9432,0.8652,0.8980,0.8512,1.0000,0.8964,0.8280,0.8648,0.8464,0.8804,0.9016,0.9800,0.9396,0.8800,0.8640,0.8516,0.8792,0.8592,0.8352,0.8856,0.8744,0.8388,,0.0000,1.0000,0.8500,0.1788
41,0.8972,0.9800,0.0000,1.0000,0.9152,0.8872,0.8956,0.8940,0.9472,0.8880,0.8556,0.8076,0.8584,0.8720,0.8516,0.8212,0.8872,0.0044,0.9100,0.8752,0.9012,0.8644,0.9372,0.8728,0.8720,0.9100,0.8512,0.8612,0.0000,0.9872,0.9800,0.8408,0.8396,0.8992,0.9020,0.8804,0.9660,0.8992,0.8952,0.9488,0.8780,0.8852,0.8328,0.8404,0.8676,0.8944,0.8080,0.9196,0.9068,0.8924,0.9076,0.9040,0.8304,0.9400,0.8532,0.8972,0.8568,0.9744,0.8932,0.8160,0.8876,0.9108,0.8524,0.0000,0.8708,0.8392,0.9152,0.8912,0.9880,0.8528,0.8976,0.8760,0.8464,0.9852,0.8668,0.9008,0.8456,0.8672,0.9024,0.8436,0.8792,0.8344,1.0000,0.8920,0.8428,0.8600,0.8328,0.8916,0.9024,0.9400,0.9284,0.8968,0.8172,0.8308,0.8712,0.8540,0.8464,0.8852,0.8640,0.8724,,0.0000,1.0000,0.8514,0.1797
42,0.8756,0.9400,0.0000,1.0000,0.8804,0.9072,0.8988,0.8792,0.9792,0.8844,0.8848,0.8084,0.8516,0.9000,0.8268,0.8352,0.8968,0.0044,0.9056,0.8816,0.8884,0.8692,0.9376,0.8492,0.8676,0.8960,0.8680,0.8716,0.0000,0.9712,0.9400,0.8384,0.8396,0.9064,0.8860,0.8756,0.9120,0.9080,0.8736,0.9052,0.8840,0.8788,0.8268,0.8460,0.8412,0.8956,0.8172,0.8976,0.8824,0.8544,0.9136,0.9088,0.8464,0.9152,0.8448,0.9172,0.8860,0.9344,0.8964,0.8168,0.8892,0.9128,0.8452,0.0000,0.8660,0.8204,0.9012,0.8984,0.9772,0.8816,0.8824,0.8980,0.8568,0.9844,0.8352,0.9044,0.8792,0.8752,0.9408,0.8660,0.9004,0.8552,1.0000,0.8948,0.8268,0.8636,0.8492,0.8840,0.9044,0.9800,0.9392,0.8820,0.8632,0.8508,0.8784,0.8608,0.8368,0.8828,0.8756,0.8404,,0.0000,1.0000,0.8503,0.1788
43,0.8972,0.9800,0.0000,1.0000,0.9148,0.8888,0.8936,0.8956,0.9472,0.8872,0.8548,0.8096,0.8588,0.8724,0.8532,0.8288,0.8832,0.0044,0.9100,0.8760,0.9004,0.8656,0.9360,0.8724,0.8728,0.9104,0.8512,0.8600,0.0000,0.9872,0.9800,0.8408,0.8384,0.8984,0.9076,0.8796,0.9648,0.8992,0.8924,0.9464,0.8780,0.8844,0.8340,0.8508,0.8656,0.8944,0.8084,0.9196,0.9072,0.8916,0.9072,0.9040,0.8292,0.9392,0.8536,0.8964,0.8572,0.9744,0.8928,0.8196,0.8876,0.9084,0.8536,0.0000,0.8684,0.8400,0.9124,0.8896,0.9880,0.8508,0.8976,0.8716,0.8480,0.9852,0.8624,0.8992,0.8492,0.8660,0.9024,0.8484,0.8760,0.8316,1.0000,0.8904,0.8408,0.8612,0.8308,0.8908,0.9012,0.9400,0.9284,0.8984,0.8176,0.8296,0.8732,0.8524,0.8448,0.8852,0.8612,0.8744,,0.0000,1.0000,0.8512,0.1796
44,0.8736,0.9400,0.0000,1.0000,0.8800,0.9088,0.9004,0.8784,0.9792,0.8836,0.8828,0.8076,0.8520,0.8996,0.8272,0.8384,0.8912,0.0044,0.9056,0.8824,0.8880,0.8672,0.9392,0.8524,0.8664,0.8952,0.8668,0.8732,0.0000,0.9712,0.9400,0.8364,0.8392,0.9056,0.8840,0.8772,0.9124,0.9080,0.8736,0.9040,0.8860,0.8748,0.8252,0.8508,0.8392,0.8956,0.8172,0.8976,0.8816,0.8528,0.9144,0.9112,0.8472,0.9168,0.8440,0.9164,0.8840,0.9344,0.8944,0.8152,0.8892,0.9132,0.8452,0.0000,0.8656,0.8156,0.9008,0.8968,0.9772,0.8828,0.8824,0.9008,0.8564,0.9844,0.8412,0.9068,0.8788,0.8732,0.9424,0.8652,0.8964,0.8564,1.0000,0.8980,0.8256,0.8636,0.8460,0.8840,0.9020,0.9800,0.9396,0.8788,0.8636,0.8516,0.8768,0.8592,0.8380,0.8888,0.8776,0.8416,,0.0000,1.0000,0.8502,0.1788
45,0.8972,0.9800,0.0000,1.0000,0.9156,0.8872,0.8972,0.8956,0.9472,0.8888,0.8564,0.8080,0.8592,0.8708,0.8520,0.8284,0.8840,0.0044,0.9100,0.8744,0.9016,0.8644,0.9376,0.8724,0.8688,0.9100,0.8516,0.8612,0.0000,0.9872,0.9800,0.8424,0.8400,0.8992,0.9052,0.8788,0.9648,0.8992,0.8940,0.9492,0.8776,0.8872,0.8344,0.8468,0.8636,0.8944,0.8064,0.9196,0.9064,0.8880,0.9092,0.9040,0.8300,0.9384,0.8536,0.8980,0.8572,0.9744,0.8976,0.8092,0.8876,0.9120,0.8528,0.0000,0.8736,0.8416,0.9148,0.8920,0.9880,0.8516,0.8976,0.8712,0.8480,0.9852,0.8616,0.8992,0.8508,0.8696,0.9028,0.8512,0.8780,0.8300,1.0000,0.8888,0.8436,0.8628,0.8336,0.8916,0.9024,0.9400,0.9284,0.8980,0.8168,0.8308,0.8732,0.8540,0.8448,0.8800,0.8620,0.8728,,0.0000,1.0000,0.8514,0.1797
46,0.8764,0.9400,0.0000,1.0000,0.8796,0.9072,0.8976,0.8796,0.9792,0.8828,0.8840,0.8088,0.8500,0.9008,0.8272,0.8372,0.8912,0.0044,0.9056,0.8824,0.8888,0.8692,0.9368,0.8496,0.8692,0.8956,0.8684,0.8700,0.0000,0.9712,0.9400,0.8356,0.8408,0.9064,0.8872,0.8764,0.9124,0.9080,0.8748,0.9044,0.8836,0.8764,0.8272,0.8540,0.8432,0.8956,0.8176,0.8976,0.8820,0.8564,0.9148,0.9088,0.8460,0.9160,0.8452,0.9156,0.8864,0.9344,0.8916,0.8172,0.8892,0.9100,0.8456,0.0000,0.8648,0.8188,0.9008,0.8968,0.9772,0.8824,0.8824,0.8992,0.8588,0.9844,0.8400,0.9048,0.8796,0.8764,0.9412,0.8656,0.8976,0.8552,1.0000,0.8964,0.8272,0.8644,0.8460,0.8840,0.9040,0.9800,0.9376,0.8812,0.8644,0.8508,0.8788,0.8608,0.8392,0.8868,0.8752,0.8372,,0.0000,1.0000,0.8503,0.1787
47,0.8944,0.9800,0.0000,1.0000,0.9152,0.8888,0.8968,0.8936,0.9472,0.8880,0.8548,0.8088,0.8588,0.8748,0.8524,0.8220,0.8856,0.0044,0.9100,0.8768,0.8996,0.8656,0.9364,0.8724,0.8692,0.9112,0.8504,0.8608,0.0000,0.9872,0.9800,0.8412,0.8384,0.8984,0.9020,0.8804,0.9648,0.8992,0.8928,0.9468,0.8788,0.8808,0.8348,0.8488,0.8616,0.8944,0.8072,0.9196,0.9080,0.8852,0.9056,0.9040,0.8300,0.9400,0.8528,0.8972,0.8564,0.9744,0.8956,0.8144,0.8876,0.9092,0.8528,0.0000,0.8700,0.8388,0.9132,0.8904,0.9880,0.8528,0.8976,0.8708,0.8492,0.9852,0.8620,0.9016,0.8536,0.8664,0.9016,0.8504,0.8780,0.8344,1.0000,0.8920,0.8436,0.8600,0.8332,0.8908,0.9020,0.9400,0.9308,0.8996,0.8180,0.8296,0.8708,0.8524,0.8440,0.8836,0.8604,0.8756,,0.0000,1.0000,0.8512,0.1797
48,0.8764,0.9400,0.0000,1.0000,0.8804,0.9088,0.9020,0.8800,0.9792,0.8844,0.8844,0.8080,0.8520,0.8972,0.8276,0.8424,0.8960,0.0044,0.9056,0.8824,0.8884,0.8672,0.9396,0.8524,0.8644,0.8944,0.8672,0.8712,0.0000,0.9712,0.9400,0.8376,0.8380,0.9056,0.8860,0.8756,0.9124,0.9080,0.8740,0.9044,0.8852,0.8780,0.8288,0.8548,0.8428,0.8956,0.8196,0.8976,0.8812,0.8580,0.9132,0.9112,0.8468,0.9152,0.8444,0.9172,0.8844,0.9344,0.8916,0.8152,0.8892,0.9124,0.8456,0.0000,0.8660,0.8208,0.9004,0.8976,0.9772,0.8792,0.8824,0.8972,0.8604,0.9844,0.8392,0.9020,0.8796,0.8744,0.9428,0.8668,0.8956,0.8524,1.0000,0.8948,0.8288,0.8700,0.8476,0.8840,0.9012,0.9800,0.9376,0.8776,0.8624,0.8516,0.8788,0.8592,0.8364,0.8820,0.8760,0.8360,,0.0000,1.0000,0.8503,0.1787
49,0.8968,0.9800,0.0000,1.0000,0.9148,0.8872,0.8916,0.8960,0.9472,0.8872,0.8580,0.8084,0.8584,0.8728,0.8524,0.8268,0.8864,0.0044,0.9100,0.8744,0.9020,0.8644,0.9368,0.8724,0.8680,0.9104,0.8520,0.8604,0.0000,0.9872,0.9800,0.8404,0.8396,0.8992,0.9076,0.8796,0.9648,0.8992,0.8932,0.9484,0.8776,0.8852,0.8328,0.8496,0.8644,0.8944,0.8060,0.9196,0.9060,0.8872,0.9076,0.9040,0.8296,0.9392,0.8540,0.8964,0.8576,0.9744,0.8952,0.8168,0.8876,0.9100,0.8532,0.0000,0.8728,0.8384,0.9144,0.8904,0.9880,0.8536,0.8976,0.8756,0.8472,0.9852,0.8628,0.9020,0.8540,0.8656,0.9032,0.8464,0.8784,0.8344,1.0000,0.8904,0.8444,0.8552,0.8328,0.8916,0.9028,0.9400,0.9288,0.9008,0.8168,0.8308,0.8736,0.8540,0.8488,0.8864,0.8592,0.8736,,0.0000,1.0000,0.8515,0.1797
50,0.8756,0.9400,0.0000,1.0000,0.8800,0.9072,0.9020,0.8776,0.9792,0.8836,0.8812,0.8080,0.8516,0.9012,0.8264,0.8392,0.8904,0.0044,0.9056,0.8816,0.8880,0.8692,0.9372,0.8496,0.8720,0.8956,0.8676,0.8736,0.0000,0.9712,0.9400,0.8368,0.8408,0.9064,0.8840,0.8772,0.9124,0.9080,0.8752,0.9048,0.8836,0.8776,0.8292,0.8524,0.8400,0.8956,0.8172,0.8976,0.8828,0.8572,0.9136,0.9088,0.8468,0.9168,0.8444,0.9164,0.8856,0.9344,0.8916,0.8160,0.8892,0.9132,0.8448,0.0000,0.8644,0.8180,0.9016,0.8976,0.9772,0.8812,0.8824,0.8968,0.8616,0.9844,0.8404,0.9056,0.8824,0.8740,0.9404,0.8640,0.8992,0.8520,1.0000,0.8980,0.8280,0.8632,0.8488,0.8840,0.9040,0.9800,0.9396,0.8800,0.8644,0.8508,0.8764,0.8608,0.8328,0.8848,0.8780,0.8380,,0.0000,1.0000,0.8503,0.1788
