round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
62,0.4375,0.7500,0.5625,0.2500,0.5000,0.3750,0.5000,0.3750,0.7500,0.3125,0.3750,0.2500,0.5000,0.5625,0.2500,0.5000,0.6250,0.5000,0.6250,0.3750,0.4375,0.5000,0.6875,0.6250,0.3750,0.6875,0.3125,0.5000,0.3125,0.3750,0.4375,0.3125,0.3125,0.4375,0.2500,0.8125,0.6250,0.3125,0.2500,0.6250,0.5000,0.4375,0.1875,0.6250,0.5000,0.6875,0.5625,0.6875,0.5625,0.4375,0.2500,0.3125,0.5625,0.7500,0.3125,0.3750,0.5625,0.1875,0.4375,0.5000,0.6875,0.6250,0.5625,0.5000,0.3750,0.6250,0.4375,0.5000,0.5000,0.3125,0.6250,0.5625,0.4375,0.4375,0.6250,0.5625,0.5000,0.3750,0.3750,0.4375,0.4375,0.6875,0.2500,0.6250,0.3750,0.7500,0.5000,0.3125,0.1250,0.5625,0.5625,0.5625,0.3750,0.5625,0.4375,0.5625,0.5000,0.5000,0.5625,0.5625,,0.1250,0.8125,0.4788,0.1460
63,0.3750,0.6875,0.5000,0.3750,0.5000,0.5625,0.6875,0.5625,0.7500,0.4375,0.4375,0.3750,0.5625,0.5000,0.5000,0.5000,0.6250,0.6875,0.5625,0.3125,0.4375,0.3750,0.3750,0.4375,0.6250,0.6875,0.6250,0.3125,0.3750,0.3750,0.6250,0.5625,0.5000,0.5000,0.5000,0.8750,0.6250,0.3750,0.6250,0.5000,0.6250,0.3750,0.2500,0.5625,0.3750,0.7500,0.3750,0.5000,0.6250,0.5000,0.3750,0.3750,0.7500,0.6250,0.3125,0.5000,0.7500,0.1875,0.4375,0.6250,0.6250,0.5625,0.6250,0.4375,0.3125,0.3125,0.3750,0.1250,0.4375,0.2500,0.5625,0.4375,0.6875,0.3750,0.5000,0.3750,0.5000,0.6250,0.3125,0.3750,0.3750,0.5000,0.2500,0.3750,0.3125,0.5000,0.3750,0.4375,0.2500,0.6250,0.6250,0.6250,0.4375,0.5625,0.3750,0.3750,0.3125,0.2500,0.3750,0.3750,,0.1250,0.8750,0.4781,0.1439
64,0.4375,0.4375,0.4375,0.5000,0.8125,0.4375,0.5625,0.3750,0.6875,0.5625,0.4375,0.3125,0.5625,0.5625,0.3750,0.4375,0.5625,0.5625,0.6250,0.5625,0.5625,0.4375,0.3125,0.7500,0.6250,0.5000,0.5625,0.3750,0.4375,0.3125,0.5000,0.5000,0.5625,0.6875,0.4375,0.6875,0.5000,0.3125,0.7500,0.6875,0.6250,0.5000,0.5625,0.3750,0.5625,0.5000,0.2500,0.4375,0.5625,0.5625,0.5000,0.4375,0.6250,0.6875,0.3750,0.4375,0.5000,0.3750,0.4375,0.5000,0.3750,0.4375,0.3125,0.3125,0.2500,0.3750,0.4375,0.4375,0.4375,0.3750,0.6875,0.5000,0.3750,0.3750,0.6250,0.1875,0.5000,0.6250,0.5000,0.3750,0.3750,0.8125,0.3125,0.5625,0.3125,0.4375,0.4375,0.7500,0.3125,0.5000,0.6250,0.4375,0.5000,0.5625,0.2500,0.4375,0.6250,0.5000,0.3750,0.3750,,0.1875,0.8125,0.4856,0.1302
65,0.3750,0.3125,0.4375,0.6250,0.5000,0.3750,0.6250,0.4375,0.6875,0.5625,0.4375,0.5625,0.2500,0.5000,0.4375,0.3750,0.6250,0.4375,0.6875,0.4375,0.6875,0.4375,0.3750,0.6250,0.6875,0.5000,0.5000,0.5000,0.4375,0.4375,0.6875,0.4375,0.5000,0.5625,0.5625,0.5625,0.1875,0.5625,0.5000,0.6250,0.5000,0.5625,0.5625,0.5000,0.5000,0.1875,0.4375,0.5000,0.5625,0.5000,0.6250,0.3750,0.5625,0.7500,0.5000,0.6250,0.3750,0.3125,0.2500,0.3125,0.3750,0.5000,0.3750,0.3125,0.3125,0.3750,0.6250,0.3125,0.3125,0.3750,0.5000,0.2500,0.3125,0.3125,0.5625,0.3750,0.4375,0.5000,0.4375,0.5625,0.6250,0.6875,0.3125,0.4375,0.3125,0.5000,0.3750,0.8125,0.6250,0.5000,0.5625,0.5625,0.2500,0.3750,0.4375,0.3125,0.5625,0.6875,0.4375,0.3125,,0.1875,0.8125,0.4738,0.1318
66,0.5000,0.3750,0.4375,0.9375,0.4375,0.2500,0.4375,0.4375,0.6250,0.5000,0.5625,0.5000,0.3125,0.6250,0.1250,0.6875,0.6875,0.2500,0.4375,0.2500,0.4375,0.5000,0.4375,0.5000,0.4375,0.5625,0.3125,0.6250,0.4375,0.5000,0.5000,0.1875,0.6875,0.5000,0.5000,0.4375,0.2500,0.4375,0.5625,0.6875,0.4375,0.6875,0.6250,0.6875,0.4375,0.5625,0.2500,0.6875,0.4375,0.3750,0.3750,0.6250,0.5625,0.6250,0.4375,0.3750,0.3750,0.2500,0.3750,0.2500,0.4375,0.5000,0.2500,0.2500,0.2500,0.4375,0.6875,0.5625,0.5000,0.5625,0.4375,0.1875,0.3750,0.3750,0.5000,0.4375,0.2500,0.6875,0.6250,0.3750,0.6875,0.5000,0.3125,0.4375,0.2500,0.3125,0.3750,0.6875,0.3750,0.6250,0.5000,0.3125,0.2500,0.4375,0.5625,0.5000,0.5625,0.6250,0.3125,0.6250,,0.1250,0.9375,0.4625,0.1505
67,0.4375,0.5000,0.6875,0.6875,0.4375,0.5000,0.4375,0.4375,0.5000,0.3750,0.4375,0.3125,0.5000,0.6250,0.1875,0.5000,0.6250,0.1250,0.6250,0.5000,0.6875,0.3125,0.5000,0.3750,0.6875,0.6875,0.5000,0.6250,0.8125,0.3125,0.4375,0.5625,0.5000,0.3750,0.3750,0.5000,0.1875,0.5000,0.3750,0.5625,0.7500,0.5625,0.3125,0.6875,0.5625,0.4375,0.1250,0.4375,0.3125,0.3750,0.3125,0.4375,0.5000,0.5000,0.5625,0.3750,0.5000,0.3125,0.3750,0.4375,0.6875,0.5625,0.6250,0.3125,0.4375,0.4375,0.3125,0.5625,0.5625,0.3750,0.2500,0.1875,0.5625,0.4375,0.5625,0.5000,0.3750,0.6875,0.5000,0.5625,0.5625,0.5000,0.3125,0.4375,0.4375,0.4375,0.3750,0.5625,0.3750,0.5625,0.5000,0.2500,0.3125,0.7500,0.3125,0.4375,0.5625,0.6250,0.3125,0.3750,,0.1250,0.8125,0.4669,0.1411
68,0.4375,0.6250,0.5000,0.4375,0.3750,0.3125,0.4375,0.4375,0.7500,0.4375,0.3750,0.4375,0.3750,0.6875,0.3750,0.5000,0.6250,0.1875,0.5625,0.4375,0.6250,0.2500,0.2500,0.5000,0.7500,0.5000,0.5000,0.5625,0.5625,0.5000,0.6250,0.3750,0.6875,0.8750,0.3750,0.5000,0.1875,0.7500,0.5000,0.3125,0.6875,0.2500,0.3750,0.5000,0.5625,0.6875,0.1875,0.6250,0.6250,0.1875,0.5000,0.3750,0.6875,0.5625,0.3125,0.3125,0.4375,0.5625,0.3750,0.6250,0.3750,0.6250,0.6875,0.4375,0.3750,0.3750,0.5625,0.4375,0.3125,0.2500,0.1250,0.5000,0.5625,0.4375,0.4375,0.3750,0.5000,0.6875,0.5000,0.6250,0.5000,0.3750,0.5000,0.3750,0.5625,0.5000,0.5000,0.7500,0.3125,0.3125,0.3125,0.5625,0.3750,0.4375,0.1875,0.6250,0.6250,0.6875,0.4375,0.3750,,0.1250,0.8750,0.4744,0.1523
69,0.2500,0.6875,0.3125,0.6250,0.3750,0.3750,0.5625,0.5000,0.5000,0.3750,0.1250,0.7500,0.5625,0.4375,0.4375,0.4375,0.3125,0.3750,0.3125,0.4375,0.6250,0.3750,0.3125,0.5625,0.5625,0.4375,0.4375,0.5625,0.6250,0.5625,0.3750,0.5000,0.5625,0.7500,0.3125,0.5000,0.3125,0.6250,0.5000,0.1875,0.6250,0.3125,0.3750,0.6875,0.3125,0.7500,0.4375,0.4375,0.6250,0.3125,0.5000,0.3750,0.6250,0.5000,0.1875,0.4375,0.3750,0.3125,0.5625,0.6250,0.5000,0.4375,0.6875,0.5000,0.4375,0.6875,0.5000,0.3750,0.5625,0.4375,0.4375,0.5625,0.4375,0.5000,0.2500,0.2500,0.5000,0.6250,0.6250,0.7500,0.4375,0.5625,0.3750,0.3125,0.6875,0.1250,0.6250,0.7500,0.5000,0.3125,0.5625,0.3750,0.3125,0.3125,0.1875,0.6250,0.3750,0.5625,0.6875,0.4375,,0.1250,0.7500,0.4700,0.1488
70,0.2500,0.3750,0.4375,0.5000,0.5000,0.3750,0.5000,0.3750,0.6250,0.3125,0.2500,0.6875,0.5000,0.6250,0.5625,0.5625,0.3125,0.5000,0.5000,0.5625,0.6250,0.4375,0.4375,0.4375,0.5625,0.6250,0.4375,0.3750,0.5625,0.6250,0.3750,0.3750,0.5625,0.5000,0.3125,0.5625,0.4375,0.6250,0.3125,0.3125,0.5000,0.4375,0.5625,0.6250,0.3750,0.5625,0.5000,0.4375,0.6250,0.3125,0.5625,0.4375,0.6875,0.3750,0.5000,0.5000,0.6875,0.4375,0.3125,0.4375,0.3125,0.4375,0.4375,0.6250,0.3750,0.5625,0.2500,0.3125,0.5625,0.4375,0.4375,0.5000,0.4375,0.4375,0.3750,0.4375,0.3125,0.4375,0.5625,0.6250,0.5625,0.5625,0.4375,0.1875,0.6250,0.1875,0.5000,0.5000,0.3750,0.6250,0.5625,0.4375,0.3125,0.3125,0.2500,0.6250,0.4375,0.1875,0.5000,0.5000,,0.1875,0.6875,0.4625,0.1212
71,0.3125,0.5000,0.3750,0.3125,0.5625,0.4375,0.6250,0.5625,0.4375,0.3750,0.4375,0.5625,0.3750,0.4375,0.4375,0.4375,0.2500,0.6250,0.6250,0.5000,0.5000,0.2500,0.5625,0.5000,0.5000,0.7500,0.4375,0.4375,0.5625,0.6250,0.3125,0.4375,0.5000,0.4375,0.3750,0.3750,0.5000,0.5625,0.1875,0.4375,0.5000,0.4375,0.5625,0.6250,0.5625,0.4375,0.5625,0.3125,0.5625,0.3750,0.4375,0.5000,0.6875,0.6250,0.4375,0.5625,0.3125,0.4375,0.3125,0.4375,0.3750,0.5000,0.3750,0.5000,0.2500,0.3750,0.2500,0.2500,0.5625,0.5625,0.5625,0.4375,0.3125,0.7500,0.3750,0.3125,0.3125,0.5625,0.5625,0.6250,0.5625,0.6250,0.5625,0.1875,0.5000,0.3125,0.5000,0.3125,0.3750,0.5625,0.6250,0.2500,0.4375,0.5000,0.5000,0.6250,0.4375,0.3125,0.5000,0.4375,,0.1875,0.7500,0.4606,0.1223
72,0.3750,0.6250,0.5000,0.6250,0.5625,0.3750,0.5625,0.4375,0.5625,0.4375,0.2500,0.4375,0.6875,0.4375,0.6875,0.5000,0.3750,0.3750,0.5000,0.5625,0.5000,0.2500,0.5000,0.3125,0.6875,0.8125,0.3750,0.5000,0.4375,0.5000,0.1875,0.3125,0.6250,0.6875,0.4375,0.4375,0.4375,0.6250,0.5000,0.6875,0.6875,0.3125,0.5000,0.7500,0.3125,0.5000,0.3750,0.1875,0.5625,0.6250,0.2500,0.2500,0.5000,0.4375,0.5000,0.6250,0.3125,0.3125,0.6250,0.3750,0.4375,0.6250,0.1875,0.6250,0.1250,0.5625,0.2500,0.1250,0.5625,0.5000,0.5625,0.2500,0.6250,0.6250,0.3125,0.6250,0.3125,0.5625,0.5625,0.5000,0.5625,0.5000,0.5000,0.1875,0.5625,0.3125,0.5625,0.3750,0.2500,0.2500,0.3750,0.3125,0.5000,0.5625,0.5625,0.5625,0.4375,0.3125,0.5625,0.5625,,0.1250,0.8125,0.4644,0.1506
73,0.3125,0.4375,0.3125,0.4375,0.3750,0.1875,0.5000,0.6250,0.3750,0.5000,0.3750,0.4375,0.5000,0.3750,0.4375,0.4375,0.4375,0.4375,0.3750,0.4375,0.6875,0.5000,0.4375,0.3125,0.6875,0.8750,0.4375,0.2500,0.5625,0.3750,0.2500,0.3750,0.3750,0.6875,0.4375,0.3125,0.4375,0.6875,0.3750,0.4375,0.4375,0.5000,0.5000,0.6875,0.1875,0.5625,0.6250,0.4375,0.6875,0.5000,0.4375,0.1875,0.5000,0.5000,0.5625,0.4375,0.3750,0.4375,0.5000,0.5000,0.4375,0.6875,0.3125,0.1875,0.1875,0.5625,0.1250,0.4375,0.3750,0.1250,0.6875,0.5000,0.4375,0.6250,0.4375,0.8125,0.1875,0.4375,0.5625,0.4375,0.3750,0.3125,0.3750,0.2500,0.6250,0.5000,0.3125,0.6250,0.3750,0.5000,0.5000,0.3125,0.5625,0.6250,0.3750,0.5000,0.5625,0.4375,0.6875,0.5625,,0.1250,0.8750,0.4531,0.1466
74,0.4375,0.3125,0.3125,0.4375,0.5625,0.1250,0.6875,0.7500,0.3125,0.3125,0.3750,0.3125,0.5000,0.3750,0.4375,0.3750,0.5000,0.6250,0.5000,0.5000,0.5000,0.6250,0.4375,0.3125,0.5625,0.6875,0.2500,0.4375,0.2500,0.3125,0.5625,0.4375,0.3125,0.6875,0.3750,0.4375,0.5625,0.5625,0.3125,0.3125,0.5000,0.5000,0.5000,0.6250,0.3125,0.7500,0.6250,0.3750,0.6875,0.4375,0.3125,0.1875,0.6250,0.3125,0.5000,0.5000,0.3750,0.3750,0.5000,0.3750,0.6250,0.6250,0.3125,0.0625,0.5000,0.5000,0.1875,0.4375,0.3125,0.3125,0.6250,0.3750,0.4375,0.6875,0.5000,0.5625,0.3125,0.3750,0.5625,0.5625,0.6250,0.3125,0.4375,0.1250,0.5625,0.6875,0.5000,0.6250,0.3125,0.5625,0.6875,0.3125,0.5000,0.3750,0.6250,0.5000,0.5000,0.3750,0.6250,0.2500,,0.0625,0.7500,0.4544,0.1483
75,0.4375,0.4375,0.4375,0.5625,0.3750,0.1250,0.5000,0.5000,0.4375,0.3750,0.6250,0.5625,0.5000,0.3750,0.4375,0.6250,0.3125,0.6875,0.6250,0.5000,0.5000,0.5625,0.3125,0.3750,0.4375,0.4375,0.3750,0.4375,0.2500,0.3750,0.8125,0.5000,0.1875,0.4375,0.4375,0.6250,0.6250,0.5000,0.3750,0.3125,0.2500,0.6250,0.5000,0.5000,0.3125,0.8125,0.5000,0.3750,0.4375,0.3125,0.4375,0.2500,0.5625,0.6250,0.5625,0.4375,0.3125,0.4375,0.5625,0.2500,0.6250,0.4375,0.5000,0.3125,0.5000,0.6250,0.2500,0.6875,0.2500,0.3750,0.6250,0.4375,0.5625,0.4375,0.4375,0.6250,0.3125,0.3750,0.5625,0.4375,0.5000,0.5000,0.7500,0.3750,0.5000,0.5625,0.5625,0.6250,0.3750,0.5000,0.6875,0.3750,0.3125,0.6250,0.4375,0.5625,0.5000,0.1875,0.4375,0.1250,,0.1250,0.8125,0.4625,0.1393
